Model,Recall,Precision,AUC
Model 1 (32 -> 16),0.7419354838709677,0.15593220338983052,0.8239415322580645
Model 2 (64 -> 32),0.6935483870967742,0.18067226890756302,0.8174731182795699
Model 3 (64 -> 32 -> 16),0.5,0.14691943127962084,0.7813844086021505
Model 4 (128 -> 64),0.5967741935483871,0.17535545023696683,0.7985551075268817
