Threshold,Recall,Precision,False Negatives,True Positives
0.1,0.8870967741935484,0.12731481481481483,7,55
0.2,0.8064516129032258,0.1366120218579235,12,50
0.3,0.7741935483870968,0.1437125748502994,14,48
0.4,0.6935483870967742,0.14625850340136054,19,43
0.5,0.6129032258064516,0.15139442231075698,24,38
0.6,0.5161290322580645,0.16326530612244897,30,32
0.7,0.43548387096774194,0.1836734693877551,35,27
0.8,0.3225806451612903,0.20618556701030927,42,20
0.9,0.20967741935483872,0.325,49,13
